20170531  00:00:00,1.11766,1.11764,1.11772,1.1177,1.11764,1.11762,1.11771,1.1177,-1
20170531  00:01:00,1.11771,1.1177,1.11776,1.11774,1.11771,1.1177,1.11775,1.11774,-1
20170531  00:02:00,1.11775,1.11774,1.11775,1.11774,1.11775,1.11773,1.11775,1.11774,-1
20170531  00:03:00,1.11775,1.11774,1.11786,1.11784,1.11774,1.11773,1.11781,1.1178,-1
20170531  00:04:00,1.11781,1.1178,1.11781,1.1178,1.11779,1.11777,1.11781,1.1178,-1
20170531  00:05:00,1.11781,1.1178,1.11781,1.1178,1.11776,1.11774,1.1178,1.11775,-1
20170531  00:06:00,1.1178,1.11775,1.1178,1.11777,1.11774,1.11772,1.11774,1.11772,-1
20170531  00:07:00,1.11774,1.11772,1.11775,1.11773,1.11773,1.11772,1.11774,1.11772,-1
20170531  00:08:00,1.11774,1.11772,1.11774,1.11772,1.1177,1.11767,1.11771,1.11768,-1
20170531  00:09:00,1.11771,1.11768,1.11771,1.11768,1.11768,1.11765,1.1177,1.11768,-1
20170531  00:10:00,1.1177,1.11768,1.11771,1.11768,1.11769,1.11767,1.1177,1.11768,-1
20170531  00:11:00,1.1177,1.11768,1.11771,1.11768,1.11766,1.11765,1.1177,1.11768,-1
20170531  00:12:00,1.1177,1.11768,1.11776,1.11774,1.1177,1.11768,1.11775,1.11773,-1
20170531  00:13:00,1.11775,1.11773,1.11776,1.11774,1.11764,1.11762,1.11768,1.11764,-1
20170531  00:14:00,1.11768,1.11764,1.1177,1.11768,1.11764,1.11761,1.11765,1.11761,-1
20170531  00:15:00,1.11765,1.11761,1.11769,1.11766,1.11757,1.11755,1.11759,1.11755,-1
20170531  00:16:00,1.11759,1.11755,1.11759,1.11756,1.11754,1.11751,1.11754,1.11752,-1
20170531  00:17:00,1.11754,1.11752,1.11754,1.11752,1.1175,1.11748,1.11754,1.11752,-1
20170531  00:18:00,1.11754,1.11752,1.11759,1.11757,1.11752,1.11749,1.11754,1.11751,-1
20170531  00:19:00,1.11754,1.11751,1.11756,1.11754,1.11754,1.11751,1.11754,1.11752,-1
20170531  00:20:00,1.11754,1.11752,1.11755,1.11752,1.11754,1.11752,1.11755,1.11752,-1
20170531  00:21:00,1.11755,1.11752,1.11759,1.11757,1.11754,1.11752,1.11759,1.11757,-1
20170531  00:22:00,1.11759,1.11757,1.1176,1.11757,1.11754,1.11752,1.11755,1.11754,-1
20170531  00:23:00,1.11755,1.11754,1.1176,1.11759,1.11755,1.11754,1.1176,1.11758,-1
20170531  00:24:00,1.1176,1.11758,1.1176,1.11759,1.11756,1.11754,1.1176,1.11758,-1
20170531  00:25:00,1.1176,1.11758,1.11761,1.11759,1.1176,1.11758,1.11761,1.11759,-1
20170531  00:26:00,1.11761,1.11759,1.11761,1.11759,1.11759,1.11757,1.11759,1.11757,-1
20170531  00:27:00,1.11759,1.11757,1.11764,1.11762,1.11759,1.11757,1.11762,1.1176,-1
20170531  00:28:00,1.11762,1.1176,1.11762,1.1176,1.11759,1.11757,1.11759,1.11757,-1
20170531  00:29:00,1.11759,1.11757,1.11763,1.11761,1.11759,1.11755,1.1176,1.11759,-1
20170531  00:30:00,1.1176,1.11759,1.11765,1.11764,1.1176,1.11757,1.1176,1.11757,-1
20170531  00:31:00,1.1176,1.11757,1.1176,1.11759,1.11752,1.11749,1.11756,1.11753,-1
20170531  00:32:00,1.11756,1.11753,1.11759,1.11756,1.11756,1.11752,1.11756,1.11752,-1
20170531  00:33:00,1.11756,1.11752,1.11756,1.11752,1.1175,1.11745,1.1175,1.11745,-1
20170531  00:34:00,1.1175,1.11745,1.1175,1.11747,1.11748,1.11745,1.11748,1.11746,-1
20170531  00:35:00,1.11748,1.11746,1.1175,1.11747,1.11748,1.11746,1.1175,1.11746,-1
20170531  00:36:00,1.1175,1.11746,1.1175,1.11746,1.1175,1.11746,1.1175,1.11746,-1
20170531  00:37:00,1.1175,1.11746,1.1175,1.11747,1.1175,1.11746,1.1175,1.11747,-1
20170531  00:38:00,1.1175,1.11747,1.1175,1.11747,1.1175,1.11746,1.1175,1.11746,-1
20170531  00:39:00,1.1175,1.11746,1.11753,1.11749,1.1175,1.11746,1.11751,1.11747,-1
20170531  00:40:00,1.11751,1.11747,1.11754,1.11752,1.1175,1.11747,1.11754,1.11752,-1
